Date,TSLA,SPX_TR
8/11/17,-0.005574422,0.001462385
9/11/17,-0.004445876,-0.003518384
10/11/17,-0.000194162,-0.000537262
13/11/17,0.041170378,0.001005091
14/11/17,-0.02113902,-0.002154474
15/11/17,0.008257114,-0.005297915
16/11/17,0.003905758,0.008523756
17/11/17,0.008032129,-0.002589161
20/11/17,-0.01998257,0.001307603
21/11/17,0.029219336,0.006556014
22/11/17,-0.016046411,-0.000662276
24/11/17,0.009094901,0.00210326
27/11/17,0.004164595,-0.000273624
28/11/17,0.002599814,0.009889858
29/11/17,-0.031302093,-0.000240993
30/11/17,0.004206501,0.008560079
1/12/17,-0.007996954,-0.001984918
4/12/17,-0.004158669,-0.001029374
5/12/17,-0.004818503,-0.003694944
6/12/17,0.031375081,-8.91E-05
7/12/17,-0.006384577,0.003106989
8/12/17,0.012158246,0.005611124
11/12/17,0.043754279,0.003206008
12/12/17,0.03673226,0.001584237
13/12/17,-0.005579202,-0.000439024
14/12/17,-0.003354734,-0.003900774
15/12/17,0.016365852,0.00902904
18/12/17,-0.013361503,0.005405054
19/12/17,-0.02303374,-0.003215117
20/12/17,-0.006397725,-0.000697361
21/12/17,0.008227508,0.001986776
22/12/17,-0.019336527,-0.000453242
26/12/17,-0.024240232,-0.001010408
27/12/17,-0.017982944,0.00086219
28/12/17,0.011578881,0.002022662
29/12/17,-0.012192846,-0.005119696
2/1/18,0.028717174,0.008349143
3/1/18,-0.010284665,0.006400043
4/1/18,-0.007546236,0.004236253
5/1/18,0.006107822,0.007031398
8/1/18,0.062751657,0.001681009
9/1/18,-0.008102122,0.001601289
10/1/18,0.003232062,-0.00110496
11/1/18,0.009489222,0.007112571
12/1/18,-0.005106185,0.006751085
16/1/18,0.011314592,-0.003506375
17/1/18,0.020818916,0.009413565
18/1/18,-0.007457206,-0.001527205
19/1/18,0.015823325,0.004409547
22/1/18,0.00459461,0.008081954
23/1/18,0.003625411,0.002213672
24/1/18,-0.019673224,-0.000558576
25/1/18,-0.024206349,0.000604854
26/1/18,0.015337245,0.011859353
29/1/18,0.019396922,-0.006673772
30/1/18,-0.010327795,-0.01083132
31/1/18,0.025011343,0.00051926
1/2/18,-0.014441432,-0.000456682
2/2/18,-0.015775881,-0.02114604
5/2/18,-0.03085962,-0.040976047
6/2/18,0.002354326,0.017550247
7/2/18,0.032765708,-0.004975033
8/2/18,-0.085683421,-0.037392826
9/2/18,-0.015795038,0.015264973
12/2/18,0.016996272,0.013949089
13/2/18,0.025037276,0.002669212
14/2/18,-0.004121462,0.01368795
15/2/18,0.036820644,0.012311848
16/2/18,0.004167645,0.000462389
20/2/18,-0.002162857,-0.005771515
21/2/18,-0.004100762,-0.005477107
22/2/18,0.038882353,0.001057237
23/2/18,0.016533605,0.016091698
26/2/18,0.015317774,0.011879334
27/2/18,-0.018158876,-0.01256341
28/2/18,-0.02240599,-0.01099275
1/3/18,-0.035322359,-0.013169872
2/3/18,0.012442232,0.005165802
5/3/18,-0.005208333,0.011038117
6/3/18,-0.015177363,0.002691077
7/3/18,0.01248432,-0.000414764
8/3/18,-0.009911504,0.004734661
9/3/18,-0.00583959,0.017403211
12/3/18,0.055861904,-0.00127034
13/3/18,-0.010331517,-0.006304897
14/3/18,-0.044510726,-0.005448509
15/3/18,-0.003421779,-0.000718941
