Date,A,B,C,D,E,F,G,H,Mkt_RF,SMB,HML,RF,WML
2020-01-01,-0.0006,-0.0074,-0.024,-0.023968923,0.001091533,0.01797601,-0.017909111,-0.022693575,-0.012,-0.0216,-0.0433,0.0013,0.0415
2020-02-01,-0.079677174,-0.0234,-0.080890982,-0.085612668,-0.070502336,-0.018904877,-0.070207431,-0.083905769,-0.0854,-0.0123,-0.0107,0.0012,0.0019
2020-03-01,-0.154618901,-0.0433,-0.154336705,-0.169985182,-0.08050022,-0.118139074,-0.154081883,-0.156040114,-0.1377,-0.0329,-0.093,0.0012,0.0623
2020-04-01,0.074492617,0.0326,0.114630454,0.122900976,0.019318389,0.044037864,0.078032169,0.099313202,0.1068,0.0234,-0.0462,0,0.003
2020-05-01,0.029991145,0.0169,0.04330177,0.051619634,0.023399785,0.026411984,0.052624504,0.050971837,0.053,0.0265,-0.051,0.0001,0.0157
2020-06-01,-0.007597899,0.0266,0.032425403,0.025605896,-0.048699526,0.022031354,0.031924403,0.029109266,0.0276,0.0019,-0.0173,0.0001,0.0221
2020-07-01,0.021084337,0.0221,0.0351759,0.047583951,0.024195955,0.053088275,0.031741121,0.041122267,0.0434,-0.0126,-0.0364,0.0001,0.0645
2020-08-01,0.025559096,0.044,0.064320345,0.057866503,0.003900034,0.019545189,0.045157421,0.053940995,0.0684,0.0145,-0.0387,0.0001,0.0071
2020-09-01,-0.006835895,-0.0282,-0.028506256,-0.030343337,-0.047109781,-0.023370508,-0.028746844,-0.026195947,-0.03,0.0239,-0.0246,0.0001,0.024
2020-10-01,-0.035660007,0.0049,-0.041079815,-0.012560014,-0.040300851,-0.014481658,-0.040940509,-0.020422173,-0.026,0.0122,0.0204,0.0001,-0.0169
2020-11-01,0.098614423,0.0864,0.117503047,0.128630345,-0.029395249,0.063488653,0.151102624,0.124824807,0.1334,0.0067,0.0434,0.0001,-0.1092
2020-12-01,0.066761268,0.0556,0.043100554,0.054081083,0.03969312,0.039244638,0.048054797,0.045674013,0.0482,0.0331,-0.012,0.0001,-0.0009
2021-01-01,-0.000207251,-0.0031,-0.004246272,0,-0.000943556,-0.003888432,-0.011284146,0.010538075,-0.0055,0.0297,0.0101,0,0.0264
2021-02-01,0.03478751,0.0509,0.026652431,0.045540797,0.000193733,-0.032490053,0.011412931,0.031653033,0.0288,0.0043,0.0746,0,-0.0652
2021-03-01,0.068410202,-0.0002,0.051921117,0.0398227,0.00038739,7.76E-05,0.025887159,0.038075508,0.0311,-0.0234,0.0557,0,-0.0483
2021-04-01,0.054414768,0.023,0.024679151,0.040647132,0.056803538,0.051003941,0.032351185,0.028248976,0.0449,-0.0104,-0.0197,0,0.0205
2021-05-01,0.031060099,0.0028,0.01830443,0.01793317,0.043588456,0.038356488,0.033265837,0.020847276,0.0165,-0.0044,0.0414,0,0.0069
2021-06-01,-0.021077221,-0.0061,0,0.00418251,-0.043096733,0.008317811,-0.01637738,0.002163438,0.0101,-0.0029,-0.0525,0,0.0017
2021-07-01,0.015235428,-0.0049,0.008514656,0.006941815,0.07080091,0.039849963,0.008016698,0.004611912,0.0104,-0.0232,-0.0167,0,-0.0083
