date,spx_close,spx_ret,spx_tr_close,spx_tr_ret,rf
1994-09-01,462.69,-0.026919599,575.8,-0.024448097,0.0037
1994-10-03,472.35,0.02087791,588.73,0.022455714,0.0038
1994-11-01,453.69,-0.039504605,567.29,-0.036417373,0.0037
1994-12-01,459.27,0.012299147,575.71,0.014842497,0.0044
1995-01-03,470.42,0.024277658,590.64,0.025933196,0.0042
1995-02-01,487.39,0.036074147,613.65,0.038957741,0.004
1995-03-01,500.71,0.027329244,631.76,0.029511937,0.0046
1995-04-03,514.71,0.027960296,650.36,0.02944156,0.0045
1995-05-01,533.4,0.03631171,676.36,0.039977858,0.0054
1995-06-01,544.75,0.02127859,692.07,0.023227275,0.0047
1995-07-03,562.06,0.031776044,715.02,0.033161385,0.0045
1995-08-01,561.88,-0.000320251,716.82,0.002517412,0.0047
1995-09-01,584.41,0.04009753,747.07,0.042200273,0.0043
1995-10-02,581.5,-0.004979381,744.4,-0.003573962,0.0047
1995-11-01,605.37,0.041049011,777.07,0.043887695,0.0042
1995-12-01,615.93,0.017443877,792.04,0.019264674,0.0049
1996-01-02,636.02,0.032617343,819.0,0.034038685,0.0043
1996-02-01,640.43,0.006933744,826.59,0.009267399,0.0039
1996-03-01,645.5,0.007916556,834.55,0.009629925,0.0039
1996-04-01,654.17,0.013431448,846.85,0.014738482,0.0046
1996-05-01,669.12,0.022853387,868.69,0.025789691,0.0042
1996-06-03,670.63,0.002256695,872.01,0.003821847,0.004
1996-07-01,639.95,-0.045748028,833.48,-0.044185273,0.0045
1996-08-01,651.99,0.01881397,851.06,0.021092288,0.0041
1996-09-03,687.31,0.05417261,898.97,0.056294503,0.0044
1996-10-01,705.27,0.026130858,923.76,0.027576004,0.0042
1996-11-01,757.02,0.073376154,993.58,0.075582402,0.0041
1996-12-02,740.74,-0.021505376,973.9,-0.019807162,0.0046
1997-01-02,786.16,0.061317061,1034.74,0.06247048,0.0045
1997-02-03,790.82,0.005927547,1042.85,0.007837718,0.0039
1997-03-03,757.12,-0.042613996,1000.0,-0.041089323,0.0043
1997-04-01,801.34,0.058405537,1059.7,0.0597,0.0043
1997-05-01,848.28,0.058576884,1124.22,0.060885156,0.0049
1997-06-02,885.14,0.043452634,1174.59,0.044804398,0.0037
1997-07-01,954.29,0.078123235,1268.05,0.07956819,0.0043
1997-08-01,899.47,-0.05744585,1197.01,-0.056023027,0.0041
1997-09-02,947.28,0.053153524,1262.56,0.054761447,0.0044
1997-10-01,914.62,-0.034477662,1220.4,-0.033392472,0.0042
1997-11-03,955.4,0.044586823,1276.89,0.046288102,0.0039
1997-12-01,970.43,0.015731631,1298.82,0.017174541,0.0048
1998-01-02,980.28,0.01015014,1313.19,0.011063889,0.0043
1998-02-02,1049.34,0.070449259,1407.9,0.072122084,0.0039
1998-03-02,1101.75,0.04994568,1480.0,0.051211024,0.0039
1998-04-01,1111.75,0.009076469,1494.89,0.010060811,0.0043
1998-05-01,1090.82,-0.018826175,1469.19,-0.0171919,0.004
1998-06-01,1133.84,0.039438221,1528.87,0.040621022,0.0041
1998-07-01,1120.67,-0.011615395,1512.59,-0.010648387,0.004
1998-08-03,957.28,-0.145796711,1293.9,-0.144579827,0.0043
1998-09-01,1017.01,0.062395537,1376.79,0.064062138,0.0046
1998-10-01,1098.67,0.080294196,1488.78,0.081341381,0.0032
1998-11-02,1163.63,0.059126034,1579.02,0.060613388,0.0031
1998-12-01,1229.23,0.056375308,1670.01,0.057624349,0.0038
1999-01-04,1279.64,0.041009412,1739.84,0.041814121,0.0035
1999-02-01,1238.33,-0.032282517,1685.77,-0.03107757,0.0035
1999-03-01,1286.37,0.038794182,1753.21,0.040005457,0.0043
1999-04-01,1335.18,0.037943982,1821.11,0.03872896,0.0037
1999-05-03,1301.84,-0.024970416,1778.1,-0.023617464,0.0034
1999-06-01,1372.71,0.054438333,1876.78,0.055497441,0.004
1999-07-01,1328.72,-0.032046099,1818.18,-0.031223692,0.0038
1999-08-02,1320.41,-0.006254139,1809.19,-0.004944505,0.0039
1999-09-01,1282.71,-0.028551738,1759.59,-0.027415584,0.0039
1999-10-01,1362.93,0.062539467,1870.94,0.063281787,0.0039
1999-11-01,1388.91,0.019061874,1908.97,0.020326681,0.0036
1999-12-01,1469.25,0.057843921,2021.4,0.058895635,0.0044
2000-01-03,1394.46,-0.050903522,1919.84,-0.050242406,0.0041
2000-02-01,1366.42,-0.020108142,1883.5,-0.018928661,0.0043
2000-03-01,1498.58,0.096719896,2067.76,0.097828511,0.0047
2000-04-03,1452.43,-0.03079582,2005.55,-0.030085697,0.0046
2000-05-01,1420.6,-0.021914998,1964.4,-0.020518062,0.005
2000-06-01,1454.6,0.023933549,2012.83,0.024653838,0.004
2000-07-03,1430.83,-0.016341262,1981.36,-0.015634703,0.0048
2000-08-01,1517.68,0.060699035,2104.43,0.062113902,0.005
2000-09-01,1436.51,-0.053482948,1993.33,-0.052793393,0.0051
2000-10-02,1429.4,-0.004949496,1984.91,-0.004224087,0.0056
2000-11-01,1314.95,-0.08006856,1828.42,-0.078839847,0.0051
2000-12-01,1320.28,0.004053386,1837.37,0.004894937,0.005
2001-01-02,1366.01,0.034636592,1902.55,0.035474619,0.0054
2001-02-01,1239.94,-0.092290686,1729.08,-0.09117763,0.0038
2001-03-01,1160.33,-0.06420472,1619.54,-0.063351609,0.0042
2001-04-02,1249.46,0.076814355,1745.39,0.07770725,0.0039
2001-05-01,1255.82,0.005090199,1757.09,0.006703373,0.0032
2001-06-01,1224.42,-0.025003583,1714.32,-0.024341383,0.0028
2001-07-02,1211.23,-0.010772447,1697.45,-0.009840637,0.003
2001-08-01,1133.58,-0.064108386,1591.18,-0.062605673,0.0031
2001-09-04,1040.94,-0.08172339,1462.69,-0.080751392,0.0028
2001-10-01,1059.78,0.018099026,1490.58,0.019067608,0.0022
2001-11-01,1139.45,0.07517598,1604.92,0.076708395,0.0017
2001-12-03,1148.08,0.007573829,1618.98,0.008760561,0.0015
2002-01-02,1130.2,-0.015573828,1595.35,-0.01459561,0.0014
2002-02-01,1106.73,-0.020766236,1564.59,-0.019281036,0.0013
2002-03-01,1147.39,0.036738861,1623.43,0.037607296,0.0013
2002-04-01,1076.92,-0.061417652,1525.0,-0.060630886,0.0015
2002-05-01,1067.14,-0.009081455,1513.77,-0.007363934,0.0014
2002-06-03,989.81,-0.072464719,1405.94,-0.07123275,0.0013
2002-07-01,911.62,-0.078994959,1296.34,-0.077954963,0.0015
2002-08-01,916.07,0.00488142,1304.86,0.00657235,0.0014
2002-09-03,815.28,-0.110024343,1163.04,-0.108685989,0.0014
2002-10-01,885.76,0.086448827,1265.41,0.088019329,0.0014
2002-11-01,936.31,0.057069635,1339.89,0.058858394,0.0012
2002-12-02,879.82,-0.060332582,1261.18,-0.058743628,0.0011
2003-01-02,855.7,-0.027414698,1228.14,-0.026197688,0.001
2003-02-03,841.15,-0.017003623,1209.71,-0.015006432,0.0009
2003-03-03,848.18,0.008357606,1221.46,0.009713072,0.001
2003-04-01,916.92,0.081044118,1322.07,0.082368641,0.001
2003-05-01,963.59,0.050898661,1391.72,0.052682536,0.0009
2003-06-02,974.5,0.011322243,1409.48,0.012761188,0.001
2003-07-01,990.31,0.016223704,1434.33,0.017630616,0.0007
2003-08-01,1008.01,0.017873191,1462.3,0.019500394,0.0007
2003-09-02,995.97,-0.011944326,1446.77,-0.010620256,0.0008
2003-10-01,1050.71,0.054961495,1528.62,0.0565743,0.0007
2003-11-03,1058.2,0.007128513,1542.07,0.008798786,0.0007
2003-12-01,1111.92,0.050765451,1622.94,0.052442496,0.0008
2004-01-02,1131.13,0.017276423,1652.73,0.018355577,0.0007
2004-02-02,1144.94,0.01220903,1675.7,0.013898217,0.0006
2004-03-01,1126.21,-0.016358936,1650.42,-0.015086233,0.0009
2004-04-01,1107.3,-0.016790829,1624.51,-0.015699034,0.0008
2004-05-03,1120.68,0.012083446,1646.8,0.013721061,0.0006
2004-06-01,1140.84,0.017989078,1678.83,0.019449842,0.0008
2004-07-01,1101.72,-0.034290523,1623.26,-0.033100433,0.001
2004-08-02,1104.24,0.002287333,1629.83,0.004047411,0.0011
2004-09-01,1114.58,0.009363906,1647.48,0.01082935,0.0011
2004-10-01,1130.2,0.014014248,1672.65,0.015277879,0.0011
2004-11-01,1173.82,0.038594939,1740.33,0.040462739,0.0015
2004-12-01,1211.92,0.032458128,1799.55,0.034028029,0.0016
2005-01-03,1181.27,-0.025290448,1755.68,-0.024378317,0.0016
2005-02-01,1203.6,0.018903384,1792.63,0.021045976,0.0016
2005-03-01,1180.59,-0.019117647,1760.89,-0.017705829,0.0021
2005-04-01,1156.85,-0.02010859,1727.49,-0.018967681,0.0021
2005-05-02,1191.5,0.029952025,1782.46,0.031820734,0.0024
2005-06-01,1191.33,-0.000142677,1784.99,0.001419387,0.0023
2005-07-01,1234.18,0.035968204,1851.37,0.037187883,0.0024
2005-08-01,1220.33,-0.011222026,1834.48,-0.009122974,0.003
2005-09-01,1228.81,0.00694894,1849.33,0.008094937,0.0029
2005-10-03,1207.01,-0.017740741,1818.5,-0.016670902,0.0027
2005-11-01,1249.48,0.035186121,1887.28,0.037822381,0.0031
2005-12-01,1248.29,-0.000952396,1887.94,0.00034971,0.0032
2006-01-03,1280.08,0.025466839,1937.93,0.026478596,0.0035
2006-02-01,1280.66,0.000453097,1943.19,0.002714236,0.0034
2006-03-01,1294.83,0.011064607,1967.38,0.012448603,0.0037
2006-04-03,1310.61,0.012186928,1993.79,0.013423945,0.0036
2006-05-01,1270.09,-0.030916901,1936.41,-0.02877936,0.0043
2006-06-01,1270.2,8.6608e-05,1939.03,0.001353019,0.004
2006-07-03,1276.66,0.005085813,1951.0,0.00617319,0.004
2006-08-01,1303.82,0.021274263,1997.42,0.023792927,0.0042
2006-09-01,1335.85,0.024566274,2048.89,0.025768241,0.0041
2006-10-02,1377.94,0.031508029,2115.65,0.032583496,0.0041
2006-11-01,1400.63,0.01646661,2155.89,0.019020159,0.0042
2006-12-01,1418.3,0.012615751,2186.13,0.01402669,0.004
2007-01-03,1438.24,0.014059085,2219.19,0.015122614,0.0044
2007-02-01,1406.82,-0.021846145,2175.78,-0.019561191,0.0038
2007-03-01,1420.86,0.009979955,2200.12,0.011186793,0.0043
2007-04-02,1482.37,0.043290683,2297.58,0.044297584,0.0044
2007-05-01,1530.62,0.032549229,2377.75,0.034893235,0.0041
2007-06-01,1503.35,-0.01781631,2338.25,-0.016612344,0.004
2007-07-02,1455.27,-0.031981907,2265.75,-0.031006094,0.004
2007-08-01,1473.99,0.012863592,2299.71,0.014988414,0.0042
2007-09-04,1526.75,0.035794001,2385.72,0.037400368,0.0032
2007-10-01,1549.38,0.014822335,2423.67,0.015907148,0.0032
2007-11-01,1481.14,-0.044043424,2322.34,-0.041808497,0.0034
2007-12-03,1468.36,-0.008628489,2306.23,-0.006936969,0.0027
2008-01-02,1378.55,-0.061163475,2167.9,-0.059981008,0.0021
2008-02-01,1330.63,-0.034761162,2097.48,-0.032483048,0.0013
2008-03-03,1322.7,-0.005959583,2088.42,-0.004319469,0.0017
2008-04-01,1385.59,0.047546685,2190.13,0.048701889,0.0018
2008-05-01,1400.38,0.010674153,2218.5,0.012953569,0.0018
2008-06-02,1280.0,-0.085962382,2031.47,-0.08430471,0.0017
2008-07-01,1267.38,-0.009859375,2014.39,-0.008407705,0.0015
2008-08-01,1282.83,0.012190503,2043.53,0.014465918,0.0013
2008-09-02,1166.36,-0.090791453,1861.44,-0.089105616,0.0015
2008-10-01,968.75,-0.169424534,1548.81,-0.167950619,0.0008
2008-11-03,896.24,-0.074849032,1437.68,-0.071751861,0.0003
2008-12-01,903.25,0.007821566,1452.98,0.010642146,0.0
2009-01-02,825.88,-0.085657348,1330.51,-0.084288841,0.0
